date,weight (lbs),location,notes
2025-05-12,7.5,yarmouth,"good weight, stay below 8 lbs"
2025-06-22,7.72,wecare,
2025-06-30,7.94,three_notch,
2025-07-14,7.79,home,
2025-07-16,7.74,home,
2025-07-18,7.68,home,
